nice_responses,mean_responses,confused_responses
( ◡‿◡ *),:(,what
(─‿‿─)♡,((╬◣﹏◢)),wat
(❤ω❤),(凸ಠ益ಠ)凸,?????
🥰,delet,Stop pinging me.
😍,Delete this.,k
😘,delett tthis,🤔
😻,"i juust wannt lo;,;ve",👁👄👁
AAAAWWWWW <3,I'll make you regret those words!,⁉
uwu,k,🆗
,Log off.,🇼 🇦 🇹
,"nice username, idiot",
,no u,
,"pl ,,ease taakke it bakc,,,plleease",
,pls no bully,
,pls take it back ;_;,
,"Stop posting and go shower, smelly.",
,ur making it really hard to live laugh love rn,
,what have i ever done to deserve this,
,why would you post this,
,Wow. Unnecessary.,
,"You Wanna Fight, Loser",
,"you;;ll miss me when, ii;;m goon.e",
,🤬,
,you're a 🤡,
